pl_name,pl_rade,pl_bmasse
"Kepler-6 b",14.61653600,212.31044000
"Kepler-32 c",2.00000000,158.90000000
"Kepler-29 c",2.34000000,4.50000000
"Kepler-20 c",2.89400000,11.10000000
"Kepler-52 b",2.10000000,135.00000000
"K2-280 b",7.50000000,37.10000000
"K2-222 b",2.27500000,7.50000000
"K2-216 b",1.75000000,8.00000000
"K2-295 b",10.05447300,106.47305000
"K2-157 b",0.93500000,1.14000000
"EPIC 201595106 b",1.56500000,7.67000000
"K2-263 b",2.51300000,15.40000000
"EPIC 229004835 b",2.33200000,10.40000000
"G 9-40 b",1.90000000,4.00000000
"HD 80653 b",1.62100000,5.61000000
"Kepler-21 b",1.63900000,7.50000000
"Kepler-8 b",15.87194400,187.51970000
"HD 73344 b",2.88400000,10.48000000
"2MASS J12073346-3932539 b",15.69257298,1652.70771640
"55 Cnc e",1.87500000,7.99000000
"CoRoT-10 b",10.87000000,874.00000000
"CoRoT-11 b",16.03000000,740.51000000
"CoRoT-12 b",16.14000000,291.43800000
"CoRoT-13 b",9.92000000,415.70400000
"CoRoT-14 b",12.22000000,2415.40000000
"CoRoT-17 b",11.43000000,772.29000000
"CoRoT-18 b",14.68000000,1102.82000000
"CoRoT-19 b",14.46000000,352.78000000
"CoRoT-1 b",16.70000000,327.35000000
"CoRoT-23 b",11.77000000,889.90000000
"CoRoT-2 b",16.43200000,1102.82000000
"CoRoT-3 b",11.32000000,6883.91000000
"CoRoT-4 b",13.34000000,228.83000000
"CoRoT-5 b",15.55800000,148.42000000
"CoRoT-6 b",13.06800000,940.74000000
"CoRoT-7 b",1.68135000,4.07660518
"Kepler-24 c",2.51400000,9.99000000
"CoRoT-8 b",6.39000000,69.92000000
"CoRoT-9 b",11.94879400,266.97720000
"CT Cha b",24.66000000,5403.00000000
"GJ 1214 b",2.73300000,8.41000000
"GJ 436 b",4.17000000,22.10000000
"GQ Lup b",33.60000000,6356.00000000
"HAT-P-12 b",10.74900000,67.05900000
"HAT-P-13 b",14.25800000,270.46200000
"HAT-P-14 b",15.91678000,1093.33520000
"HAT-P-15 b",11.88154000,616.59020000
"HAT-P-17 b",11.76945000,184.34140000
"HAT-P-18 b",11.15300000,62.61000000
"HAT-P-19 b",11.29865255,88.03846874
"HAT-P-1 b",14.78467100,166.86075000
"HAT-P-20 b",9.71800000,2302.89900000
"HAT-P-21 b",12.44199000,1547.83210000
"HAT-P-22 b",12.89035000,785.04010000
"HAT-P-23 b",15.33400000,664.23700000
"HAT-P-24 b",14.57170000,238.37250000
"HAT-P-25 b",12.72221500,180.84527000
"HAT-P-26 b",7.06167000,22.24810000
"HAT-P-27 b",11.43000000,197.05000000
"HAT-P-28 b",13.58500000,198.95300000
"HAT-P-29 b",13.11453000,279.69040000
"HAT-P-30 b",16.14096000,263.79890000
"HAT-P-31 b",12.21781000,721.47410000
"HAT-P-32 b",22.19382000,216.12440000
"HAT-P-33 b",20.73665000,292.40360000
"HAT-P-34 b",13.41717300,1058.37390000
"HAT-P-35 b",14.93038800,335.62848000
"HAT-P-36 b",14.31389300,587.41340600
"HAT-P-37 b",13.20400000,371.52800000
"HAT-P-3 b",10.53646000,206.58950000
"HAT-P-4 b",14.28000000,213.25500000
"HAT-P-5 b",13.56289000,311.47340000
"HAT-P-6 b",16.58932000,419.53560000
"HAT-P-8 b",15.69260000,406.82240000
"HAT-P-9 b",15.61413700,238.05467000
"HD 118203 b",12.77823800,680.15279098
"HD 136352 b",1.66400000,4.72000000
"HD 136352 c",2.91600000,11.24000000
"HD 136352 d",2.56200000,8.82000000
